"No.","Time","Source","Destination","Protocol","Length","Info"
"9139","2549.754402","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=274, Time=174720 Frames=5"
"9140","2549.762859","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9141","2549.763976","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9142","2549.773246","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=275, Time=175360 Frames=5"
"9143","2549.780274","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9144","2549.793219","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=276, Time=176000 Frames=5"
"9145","2549.801019","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9146","2549.813917","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=277, Time=176640 Frames=5"
"9147","2549.814117","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=278, Time=177280 Frames=5"
"9148","2549.823933","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9149","2549.824146","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9150","2549.833182","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=279, Time=177920 Frames=5"
"9151","2549.840994","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9152","2549.853255","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=280, Time=178560 Frames=5"
"9153","2549.853439","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=281, Time=179200 Frames=5"
"9154","2549.862986","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9155","2549.865278","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9156","2549.872997","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=282, Time=179840 Frames=5"
"9157","2549.879049","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9158","2549.893022","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=283, Time=180480 Frames=5"
"9159","2549.898988","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9160","2549.913701","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=284, Time=181120 Frames=5"
"9161","2549.917052","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=285, Time=181760 Frames=5"
"9162","2549.925207","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9163","2549.926405","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9164","2549.933009","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=286, Time=182400 Frames=5"
"9165","2549.939084","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9166","2549.953036","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=287, Time=183040 Frames=5"
"9167","2549.958912","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9168","2549.973095","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=288, Time=183680 Frames=5"
"9169","2549.973243","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=289, Time=184320 Frames=5"
"9170","2549.981401","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9171","2549.982568","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9172","2549.993014","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=290, Time=184960 Frames=5"
"9173","2549.998986","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9174","2550.013360","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=291, Time=185600 Frames=5"
"9175","2550.013511","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=292, Time=186240 Frames=5"
"9176","2550.022816","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9177","2550.023989","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9178","2550.033039","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=293, Time=186880 Frames=5"
"9179","2550.038955","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9180","2550.053770","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=294, Time=187520 Frames=5"
"9181","2550.060559","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9182","2550.074113","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=295, Time=188160 Frames=5"
"9183","2550.074327","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=296, Time=188800 Frames=5"
"9184","2550.083893","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9185","2550.085763","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9186","2550.093301","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=297, Time=189440 Frames=5"
"9187","2550.100142","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9188","2550.113322","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=298, Time=190080 Frames=5"
"9189","2550.113505","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=299, Time=190720 Frames=5"
"9190","2550.122699","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9191","2550.123885","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9192","2550.133642","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=300, Time=191360 Frames=5"
"9193","2550.141341","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9194","2550.153735","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=301, Time=192000 Frames=5"
"9195","2550.160156","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9196","2550.173498","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=302, Time=192640 Frames=5"
"9197","2550.173795","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=303, Time=193280 Frames=5"
"9198","2550.182617","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9199","2550.185086","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9200","2550.193585","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=304, Time=193920 Frames=5"
"9201","2550.200296","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9202","2550.213591","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=305, Time=194560 Frames=5"
"9203","2550.220321","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9204","2550.233762","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=306, Time=195200 Frames=5"
"9205","2550.233922","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=307, Time=195840 Frames=5"
"9206","2550.243391","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9207","2550.243931","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9208","2550.252799","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=308, Time=196480 Frames=5"
"9209","2550.260054","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9210","2550.273327","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=309, Time=197120 Frames=5"
"9211","2550.273553","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=310, Time=197760 Frames=5"
"9212","2550.282952","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9213","2550.284022","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9214","2550.293018","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=311, Time=198400 Frames=5"
"9215","2550.299105","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
