"
2017-01-03 17:13:59.622165 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.622328 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.622399 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.623079 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.623216 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.623278 ," HCI Command: Vendor (0x3f|0x0154) plen 8 
"
2017-01-03 17:13:59.626272 ," HCI Event: Command Complete (0x0e) plen 5     Vendor (0x3f|0x0154) ncmd 1 
"
2017-01-03 17:13:59.626445 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.645100 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x1200     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:13:59.648076 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.773646 ," HCI Command: Write Voice Setting (0x03|0x0026) plen 2     voice setting 0x0060 
"
2017-01-03 17:13:59.777247 ," HCI Event: Command Complete (0x0e) plen 4     Write Voice Setting (0x03|0x0026) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.779977 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x1112 0x1200     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:13:59.782353 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.792143 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x1112 0x111f 0x1200     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:13:59.797014 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.217508 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x110c 0x1112 0x111f 0x1200     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:14:00.220904 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.222869 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x110a 0x110c 0x1112 0x111f 0x1200     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:14:00.226537 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.229513 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x110a 0x110c 0x110e 0x1112 0x111f 0x1200     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:14:00.231965 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.356066 ," HCI Command: Write Inquiry Scan Activity (0x03|0x001e) plen 4     interval 2048 window 18 
"
2017-01-03 17:14:00.360085 ," HCI Event: Command Complete (0x0e) plen 4     Write Inquiry Scan Activity (0x03|0x001e) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.363986 ," HCI Command: Write Scan Enable (0x03|0x001a) plen 1     enable 0 
"
2017-01-03 17:14:00.367702 ," HCI Event: Command Complete (0x0e) plen 4     Write Scan Enable (0x03|0x001a) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.369859 ," HCI Command: Write Scan Enable (0x03|0x001a) plen 1     enable 2 
"
2017-01-03 17:14:00.374542 ," HCI Event: Command Complete (0x0e) plen 4     Write Scan Enable (0x03|0x001a) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.757198 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x110a 0x110c 0x110e 0x1112 0x111f 0x1200 0x1132     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
